,Tweet_id,Tweet_date,Author_id,Username,Author_description,Author_location,Author_followers,Author_following_count,Author_tweet_count,Tweet_content,Tweet_URL,Author_image_URL
0,1584170987054301185,2022-10-23 13:12:50+00:00,114774406,jenniferhenkeHB,literary & cultural studies scholar | #firstgen interim prof | #medicalhumanities | also middle-aged #ichbinhanna in solidarity with #ichbinreyhan | typos mine,,2354,1670,10908,"""People struggling with negative work environments should recognize that it 'is #not #them' [...]. And the more you can separate your emotions from your work — meaning your health and well-being isn’t 'emotionally tied: to your job — the better."" 2/2 #IchBinHanna #IchBinReyhan",https://twitter.com/jenniferhenkeHB/status/1584170987054301185,https://pbs.twimg.com/profile_images/1584146892035874816/I-3QPZjR_normal.jpg
1,1583536438653902848,2022-10-21 19:11:22+00:00,1193209117042761734,patrickfwolf,"Robotics researcher with a focus on off-road perception, control & simulation of autonomous vehicles. Postdoc at @RRLab_tuk, @uni_kl.","Kaiserslautern, Deutschland",150,321,806,"@byhelenazee If possible I like to continue. The current contract goes until next summer. I applied for funding from @CZ_Stiftung Nexus starting on October 2023 but I assume there is high competition. And, there are always issues related to #IchBinHanna. Feel free to check them out.",https://twitter.com/patrickfwolf/status/1583536438653902848,https://pbs.twimg.com/profile_images/1301083020531769345/49jrKBAj_normal.jpg
2,1583110293571661824,2022-10-20 14:58:01+00:00,3332603056,MaiReinerth,"Media Studies, Politics, Stuff. Dr. phil. & Angry Mom. Find me elsewhere: https://t.co/5FyJRlr8ro","Babelsberg, Germany",444,399,3691,"@rscarlets @smitmehta @Filmuni @SkadiLoist @fredericdubois Several colleagues from @Filmuni are at #ecrea22 right now, so try talking to them if you’re interested. Unfortunately, no regular postdoc positions here though so best to bring your own project and funding. Get in touch if you think I may be of help &amp; good luck! 🍀 #IchbinHanna",https://twitter.com/MaiReinerth/status/1583110293571661824,https://pbs.twimg.com/profile_images/1511307575022821384/UkwnCQGI_normal.jpg
3,1581918184222838784,2022-10-17 08:01:00+00:00,1357694326416015360,juliajbeine,classicist · comparatist · drama enthusiast · PhD @ruhrunibochum · @HuygensING · Greek & Roman #DraCor · arts journalism & science journalism | my own opinion,,138,402,347,"#JanvanMieris, ""Minerva elevating the arts"" (ca. 1685) @DeLakenhal #Leiden

From the description:
""The money purse reminds us that science can only flourish if sufficient funding is available - a problem still relevant today.""

So true. 

#IchbinHanna #phdvoice #AcademicTwitter https://t.co/xWETO9Q6Ah",https://twitter.com/juliajbeine/status/1581918184222838784,https://pbs.twimg.com/profile_images/1365236407229435908/LylUY9Wx_normal.jpg
4,1576922356752486400,2022-10-03 13:09:22+00:00,1523897218314473472,Mario_Donick,Wege durchs digitale Zeitalter - Blog und Buchreihe - https://t.co/OEmLKwKDNi,Magdeburg & Rostock,46,170,980,"Beste Textstelle, die ich in nem Song dieses Jahr gehört habe: ""I'm not your girl from next door /
I'm like a post-doc: hardcore"" Das gesamte Werk ist bisschen kitschiger Space-Prog-Metal, aber wär ich noch #IchBinHanna und ich kein Typ, wär das mein Motto.",https://twitter.com/Mario_Donick/status/1576922356752486400,https://pbs.twimg.com/profile_images/1568126768212582400/ulvXbEuo_normal.png
5,1576189301494190080,2022-10-01 12:36:28+00:00,1006129004125057025,jazzdallagnola,"ARF @OSCE_Academy, funded by @snsf_ch. Chair @EECESWAF, former @UCLSSEES #ICTs #sexuality #smartcity #Centralasia #BRI #digitalsilkroad","Zurich, Switzerland",560,617,789,"@BerilOcakli Totally feel you my dear🤗 #Researchgate just informed me that my #research items were the most cited #research items from my #institution. However, many #citations and #highquality #publications do not guarantee #secure employment in #academia . #academicnepotism #IchbinHanna",https://twitter.com/jazzdallagnola/status/1576189301494190080,https://pbs.twimg.com/profile_images/1105754615461675009/0MKaWoO4_normal.png
6,1575043115181916160,2022-09-28 08:41:56+00:00,41074848,shorstkotte,"Literatur, Wissenschaft, Religion. Forscht und lehrt @UniLeipzig.",,2962,1048,29889,"@ankahajkova @DieVilla4 For #IchbinHanna, the point is not to work while you are NOT GETTING PAID AT ALL. That's something completely different from unpaid overtime.",https://twitter.com/shorstkotte/status/1575043115181916160,https://pbs.twimg.com/profile_images/1550032904281006081/jN-0lSS1_normal.jpg
7,1574063683776520193,2022-09-25 15:50:01+00:00,1534770179149897729,SaultoPaul_Hub,"Theology Hub.
Follow us for news, open positions, discussions, events for #theology academics
#oldtestament #hebrewbible #newtestament #biblicalstudies #postdoc",UK & Germany most of the time,102,198,331,"⬇️ Interesting, for most of you, relationships with peers from your field have not changed after you started competing for the same positions.

#academia #phdlife #phdchat #PhDvoice #PostdocVoice #IchbinHanna #IchbinReyhan #AcademicChatter #AcademicTwitter https://t.co/q4N4sOn01u",https://twitter.com/SaultoPaul_Hub/status/1574063683776520193,https://pbs.twimg.com/profile_images/1534819081328676872/051M3Y_N_normal.jpg
8,1573317801963659264,2022-09-23 14:26:09+00:00,1534770179149897729,SaultoPaul_Hub,"Theology Hub.
Follow us for news, open positions, discussions, events for #theology academics
#oldtestament #hebrewbible #newtestament #biblicalstudies #postdoc",UK & Germany most of the time,102,198,331,"❓Once you start competing for the same tenured positions, has your relationship with other scholars from your generation and field changed?

#academia #phdlife #phdchat #PhDvoice #PostdocVoice #IchbinHanna #IchbinReyhan #AcademicChatter #AcademicTwitter",https://twitter.com/SaultoPaul_Hub/status/1573317801963659264,https://pbs.twimg.com/profile_images/1534819081328676872/051M3Y_N_normal.jpg
9,1570790786891132930,2022-09-16 15:04:42+00:00,41605816,motoko42,"STS scholar. 
geoengineering, epistemic communities, digital methods, gender/feminism + more. 
PostDoc @TU_Muenchen + @unihh
Views my own (he/him)",Germany,508,602,1415,Next week is 'Postdoc apprecian week' in Germany (from Sep 19). Do we get permanent positions then? #lifeinacademia #IchbinHanna,https://twitter.com/motoko42/status/1570790786891132930,https://pbs.twimg.com/profile_images/1382087623758467075/pfg3CUFm_normal.png
10,1568259875821572096,2022-09-09 15:27:45+00:00,1206499000200892416,AndyGuid,Associate Professor @inalco | Podcasting @SoutheastPass  | 📗Generations of Empire: Youth from Ottoman to Italian Rule in the Mediterranean,Paris,1530,1787,1284,"Since Ch*rles has become a postdoc allegory, here's a 🇩🇪 caricature from 1848 (Wpedia) 

""A German Privatdozent turning into a mummy wrapped up in his hopes""

The hopes apply to 2022: appointment as councilor/professor, TT job in Berlin(!), salary raise
#ichbinhanna ante litteram https://t.co/cPHJpoNDZW",https://twitter.com/AndyGuid/status/1568259875821572096,https://pbs.twimg.com/profile_images/1586385971758645249/umaUQZ4r_normal.jpg
11,1567435509839839237,2022-09-07 08:52:01+00:00,48536269,Teresa_ohne_h,"👩🏼‍🎓#ichbinhanna 🔎 #kurteisner | Historikerin, Medienwissenschaftlerin & kath. Vordiplomstheologin | made in 🇪🇺, Dahoam in Bayern | kreative Hundemami",München,1299,1231,37459,"Trump und Konstantinische Schenkung in der Einleitung im #FakeNews Artikel für #speakupostbelgien

Kirchenhistorikerin from my &lt;3 

Schade, dass es #ichbinhanna s in dieser Disziplin noch ein bisschen schwerer haben und ich deswegen Landeshistorikerin wurde.",https://twitter.com/Teresa_ohne_h/status/1567435509839839237,https://pbs.twimg.com/profile_images/1507648303244222466/va2SjliK_normal.jpg
12,1566817371247071234,2022-09-05 15:55:46+00:00,1501041268071280640,acklotz,"Researching the Shoah, East European, Jewish & migrant history @HebrewU. Proud Ex-Unit Chair of @UAW5810 @UCBerkeley. Feminist, Firstgen, Activist.💄👩🏻‍🎓🌹",Jerusalem/Berlin,905,801,1015,"Missing my comrades from @UAW5810 in #Berkeley today! Happy #LaborDay to all of you and keep up the good work! …and just a random side note: I’am also on the picture, holding the Postdoc and Academic Researchers Union banner! 🙃 #UnionYes #AcademicChatter #IchbinHanna https://t.co/7ubENhuHdm",https://twitter.com/acklotz/status/1566817371247071234,https://pbs.twimg.com/profile_images/1533680929960386561/YDQEj7kg_normal.jpg
