Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability,Aspect_Category
English,Others,academia,89,36,43,10,0.4318777979927116,0.3696469700989429,0.1984752283400196,hochschule
English,PhD Student,academia,82,46,16,20,0.4566605857505304,0.3138827061871203,0.2294567038713976,hochschule
English,PostDoc,academia,339,133,166,40,0.4314492374197044,0.37716591355987,0.1913848488006443,hochschule
English,Professor,academia,189,86,77,26,0.4793757578683278,0.3405485666460461,0.1800756726226715,hochschule
English,Unknown,academia,110,63,39,8,0.5176379653540525,0.3391258972612294,0.1432361267591741,hochschule
English,Others,amp,96,23,54,19,0.2909331164555623,0.4514109695252652,0.2576559088095867,amp
English,PostDoc,amp,226,98,92,36,0.4247276245707036,0.3514636189355391,0.2238087537368775,amp
English,Professor,amp,142,61,51,30,0.4153639275947927,0.3415801480386248,0.2430559235795492,amp
English,Unknown,amp,262,118,99,45,0.4369050623237632,0.3597487000222424,0.2033462421257645,amp
English,Others,career,60,11,40,9,0.3020914623824258,0.4822859807560841,0.2156225478587051,arbeit
English,PostDoc,career,128,37,77,14,0.3448774068965576,0.4403457180596888,0.2147768763170461,arbeit
English,Professor,career,83,29,45,9,0.3661182260656931,0.4152137743062283,0.218667999145586,arbeit
English,Others,contract,109,36,63,10,0.3813701626084266,0.4608249249056392,0.1578049131609294,vertrag
English,PostDoc,contract,164,34,120,10,0.3099063021676024,0.5159747913116361,0.174118908423158,vertrag
English,Professor,contract,103,31,68,4,0.3700622438082417,0.4765823849847594,0.1533553702214244,vertrag
English,Others,germany,88,26,44,18,0.354275579500774,0.4093514749018306,0.2363729427822611,deutschland
English,PhD Student,germany,53,25,19,9,0.4606717639374283,0.3485030535397664,0.1908251956140376,deutschland
English,PostDoc,germany,187,77,93,17,0.4269527571405319,0.4120821623420492,0.160965077618864,deutschland
English,Professor,germany,122,58,50,14,0.4574705303081723,0.3797912881633297,0.1627381844446062,deutschland
English,Unknown,germany,98,54,34,10,0.5144301640744112,0.34146891714891,0.1441009208959127,deutschland
English,Others,job,69,23,36,10,0.3870213335190994,0.4042314623307059,0.2087472070926341,arbeit
English,PostDoc,job,159,58,84,17,0.4060627494077637,0.3987522059758692,0.1951850467074498,arbeit
English,Professor,job,126,51,59,16,0.4135938337930138,0.3891498008890757,0.1972563655470453,arbeit
German,Others,job,111,45,56,10,0.4047193597364533,0.4321391767243275,0.1631414603089561,arbeit
German,PostDoc,job,124,50,54,20,0.3951077353689939,0.3887075562060119,0.2161847063520502,arbeit
German,Professor,job,89,29,48,12,0.3704370509707526,0.4191184503266985,0.2104444973212614,arbeit
German,Unknown,job,157,70,70,17,0.4738443248733214,0.3591529720694206,0.1670027067172963,arbeit
English,Others,position,66,13,48,5,0.308497743991514,0.5089105823726365,0.1825916700516686,politik
English,PostDoc,position,136,42,86,8,0.3798139269518502,0.4619929122683756,0.1581931599854107,politik
English,Professor,position,99,26,58,15,0.3055586127771271,0.4883718693045654,0.2060695117941558,politik
German,PostDoc,position,76,22,47,7,0.3351343650811989,0.5209481845560827,0.1439174507793627,politik
English,Others,research,84,20,45,19,0.2807309319974765,0.4442740295614515,0.2749950344053407,research
English,PostDoc,research,170,41,91,38,0.2862358599134227,0.4419435647918897,0.2718205785269246,research
English,Professor,research,86,17,52,17,0.280221129161154,0.4648132896007493,0.2549655768630463,research
English,Unknown,research,62,20,33,9,0.3539098540260907,0.444055343707723,0.2020348028670395,research
English,Others,researcher,87,35,47,5,0.4290931959176201,0.4195404108399632,0.1513663869479606,research
English,PostDoc,researcher,96,34,47,15,0.3810243062131728,0.4178414597020795,0.2011342294184335,research
English,Professor,researcher,62,18,38,6,0.3750856758485879,0.4121786066361012,0.212735716794287,research
English,Others,science,64,14,38,12,0.2793367161939386,0.4756620547268539,0.245001227944158,wissenschaft
English,PostDoc,science,79,30,43,6,0.4129979664200469,0.4344782848618453,0.1525237468200959,wissenschaft
English,Others,term,56,14,37,5,0.35173148861421,0.4615951233011271,0.1866733865878943,wort
English,PostDoc,term,87,14,67,6,0.2877760906115003,0.4935231864794917,0.2187007341062885,wort
English,Professor,term,52,14,35,3,0.3768978994339704,0.4372587368751948,0.185843369601151,wort
English,Others,time,63,16,37,10,0.3136732156373678,0.4500125391734025,0.2363142422622158,zeit
English,PostDoc,time,146,46,83,17,0.3791436167331795,0.4050813991168182,0.2157749881304493,zeit
English,Professor,time,91,21,57,13,0.3351261721371294,0.4504219235054084,0.2144519101398495,zeit
English,Others,university,63,30,24,9,0.4488924909974374,0.3652327921064127,0.1858747120177934,hochschule
English,PostDoc,university,101,28,65,8,0.3580237780467118,0.4696724865179841,0.172303735416862,hochschule
English,Professor,university,93,34,49,10,0.4142241786804891,0.4001996936576982,0.1855761288234623,hochschule
English,Others,year,56,10,36,10,0.2670843670078154,0.4783683658045317,0.2545472641941159,jahr
English,PhD Student,year,69,37,23,9,0.4985962694483822,0.3261365015869555,0.175267224456521,jahr
English,PostDoc,year,198,56,114,28,0.3559234565443764,0.4375535788089789,0.2065229612270915,jahr
English,Professor,year,128,28,78,22,0.3063221587799489,0.4424245876143686,0.2512532503824332,jahr
English,Unknown,year,67,25,38,4,0.3879525288383462,0.4388102399213101,0.1732372208706923,jahr
English,PostDoc,academic,313,101,182,30,0.406135836556649,0.3898440546954211,0.2040201006308435,hochschule
English,Professor,academic,221,67,118,36,0.3800197210651717,0.3833023957503597,0.2366778780980145,hochschule
English,PostDoc,change,100,33,59,8,0.3797293624654412,0.4209792371839285,0.1992913998104631,promotion
English,PostDoc,condition,103,24,78,1,0.3981273852795073,0.4316843636333942,0.1701882629953686,situation
English,PostDoc,day,56,17,25,14,0.3407538687211594,0.3636409265122243,0.2956052060638154,tag
English,PostDoc,discussion,57,10,32,15,0.2319384984051187,0.4684485603581395,0.2996129484422374,thema
English,PostDoc,life,70,22,44,4,0.3825916995959622,0.4470078144222498,0.1704004872856395,nachwuchs
English,PostDoc,people,127,55,54,18,0.4465474036382877,0.3761865258744852,0.177266065119289,personal
English,Professor,people,76,39,23,14,0.4958200996349516,0.3154907654235629,0.1886891347454174,personal
English,Unknown,people,55,40,11,4,0.5814883855256168,0.3097190835259177,0.1087925262410531,personal
English,PostDoc,postdoc,109,33,61,15,0.3333603116008666,0.4658814668997165,0.2007582261731181,postdoc
English,Professor,postdoc,63,13,34,16,0.2961795671828209,0.4353518379586084,0.2684685849392461,postdoc
German,Others,postdoc,93,26,62,5,0.3295821768622244,0.5424321036265102,0.1279857186099854,postdoc
German,PostDoc,postdoc,226,61,153,12,0.3336768421319733,0.5389674715368094,0.1273556840812078,postdoc
German,Professor,postdoc,200,66,125,9,0.3763505783583969,0.5049992244131863,0.118650193652138,postdoc
German,Unknown,postdoc,88,36,48,4,0.412509812338447,0.4780083701691844,0.1094818236094645,postdoc
English,PostDoc,precarity,73,55,14,4,0.6431579850103757,0.2607670250565629,0.096074986284318,nachwuchs
English,PostDoc,problem,83,61,15,7,0.5935083088206957,0.2920192656926361,0.1144724247797605,jahr
German,Others,problem,217,158,50,9,0.6005566592761723,0.3282415530373973,0.0712017852057646,jahr
German,PD,problem,71,47,24,0,0.5899685171078628,0.3495077367504717,0.0605237484371787,jahr
German,PhD Student,problem,89,69,18,2,0.6495494926243686,0.2906376870160692,0.0598128201816691,jahr
German,PostDoc,problem,367,279,81,7,0.6322593533964346,0.3072775559606441,0.0604630934724162,jahr
German,Professor,problem,296,230,59,7,0.6495598063779038,0.2899217203108442,0.0605184736258878,jahr
German,Unknown,problem,232,182,43,7,0.6579754715143092,0.2744102741687976,0.0676142559507219,jahr
English,PostDoc,scholar,82,37,35,10,0.4641962585425594,0.36033292896137,0.1754708128367982,wissenschaft
English,Unknown,scholar,55,24,27,4,0.4419960238716819,0.3831572725014253,0.1748467134142463,wissenschaft
English,PostDoc,scientist,69,24,40,5,0.4096325782492109,0.4220178046304246,0.1683496162160366,wissenschaft
English,PostDoc,student,73,19,41,13,0.3463598349935387,0.408502786152371,0.2451373753711989,hochschule
