Category,Language,Aspect,Count,Aspect_Category,Negative,Neutral,Positive
PostDoc,English,system,69,system,58,6,5
PostDoc,German,system,177,system,151,12,14
PhDStudent,German,system,44,system,34,5,5
Prof,English,system,33,system,24,8,1
Prof,German,system,141,system,121,8,12
Others,English,system,15,system,13,1,1
Others,German,system,106,system,92,8,6
Unknown,English,system,14,system,14,0,0
Unknown,German,system,109,system,94,5,10
PD,German,system,45,system,41,4,0
PostDoc,English,job,32,arbeit,13,16,3
PostDoc,German,job,52,arbeit,20,21,11
PhDStudent,German,job,14,arbeit,6,3,5
Prof,English,job,15,arbeit,5,5,5
Prof,German,job,40,arbeit,11,15,14
Others,German,job,59,arbeit,22,27,10
Unknown,English,job,12,arbeit,7,5,0
Unknown,German,job,63,arbeit,33,18,12
PostDoc,English,staff,30,personal,18,9,3
Prof,English,staff,19,personal,11,6,2
Others,English,staff,20,personal,14,4,2
PostDoc,English,thread,27,thema,2,3,22
PostDoc,German,thread,97,thema,23,21,53
PhDStudent,German,thread,14,thema,2,1,11
Prof,English,thread,11,thema,1,1,9
Prof,German,thread,41,thema,8,8,25
Others,German,thread,38,thema,2,8,28
Lecturers,German,thread,12,thema,2,3,7
Unknown,German,thread,13,thema,2,3,8
PostDoc,English,position,27,politik,6,19,2
PostDoc,German,position,19,politik,9,6,4
Prof,English,position,21,politik,7,11,3
Others,English,position,12,politik,2,6,4
Others,German,position,14,politik,10,1,3
Unknown,German,position,11,politik,7,4,0
PostDoc,English,academia,24,hochschule,19,1,4
Prof,English,academia,15,hochschule,13,1,1
PostDoc,English,hanna,21,hanna,8,8,5
PostDoc,German,hanna,67,hanna,26,24,17
Prof,German,hanna,48,hanna,25,14,9
Others,English,hanna,38,hanna,5,17,16
Others,German,hanna,42,hanna,20,16,6
Unknown,German,hanna,49,hanna,24,12,13
PostDoc,English,conditions,21,situation,17,0,4
Unknown,English,conditions,11,situation,10,1,0
PostDoc,English,contract,17,vertrag,6,7,4
PostDoc,English,germany,16,deutschland,10,4,2
Prof,English,germany,14,deutschland,6,7,1
PostDoc,English,work,16,arbeit,8,4,4
PostDoc,English,teaching,15,professur,6,4,5
PostDoc,English,law,14,politik,12,2,0
PostDoc,English,twitter,12,deutschland,2,9,1
PostDoc,German,twitter,20,deutschland,8,10,2
Others,German,twitter,15,deutschland,4,10,1
Unknown,German,twitter,18,deutschland,9,7,2
PostDoc,English,money,12,uni,7,4,1
PostDoc,English,video,11,forschung,7,3,1
PostDoc,German,video,65,forschung,35,17,13
PhDStudent,German,video,38,forschung,19,11,8
Prof,German,video,51,forschung,31,9,11
Others,German,video,51,forschung,25,18,8
Unknown,German,video,33,forschung,25,4,4
PostDoc,English,place,11,politik,5,1,5
PostDoc,English,working conditions,11,situation,6,0,5
PostDoc,German,stelle,107,forschung,63,31,13
PhDStudent,German,stelle,42,forschung,24,13,5
Prof,German,stelle,76,forschung,39,25,12
Others,German,stelle,76,forschung,54,15,7
Unknown,German,stelle,98,forschung,62,22,14
PD,German,stelle,12,forschung,8,3,1
PostDoc,German,lehre,97,forschung,62,1,34
PhDStudent,German,lehre,26,forschung,14,3,9
Prof,German,lehre,96,forschung,62,3,31
Others,German,lehre,57,forschung,39,4,14
Unknown,German,lehre,54,forschung,38,2,14
PD,German,lehre,13,forschung,9,0,4
PostDoc,German,wissenschaft,95,wissenschaft,63,16,16
PhDStudent,German,wissenschaft,13,wissenschaft,8,4,1
Prof,German,wissenschaft,45,wissenschaft,28,11,6
Others,German,wissenschaft,82,wissenschaft,51,16,15
Unknown,German,wissenschaft,53,wissenschaft,42,9,2
PD,German,wissenschaft,21,wissenschaft,17,2,2
PostDoc,German,universitäten,78,hochschule,75,0,3
PostDoc,German,stellen,77,forschung,70,6,1
PhDStudent,German,stellen,19,forschung,16,1,2
Prof,German,stellen,62,forschung,50,7,5
Others,German,stellen,50,forschung,45,4,1
Unknown,German,stellen,48,forschung,43,1,4
PD,German,stellen,14,forschung,12,1,1
PostDoc,German,geld,76,uni,60,13,3
PhDStudent,German,geld,19,uni,14,4,1
Prof,German,geld,64,uni,50,10,4
Others,German,geld,55,uni,40,11,4
Unknown,German,geld,67,uni,57,8,2
PD,German,geld,14,uni,7,6,1
PostDoc,German,professor,73,professur,52,14,7
Prof,English,professor,19,professur,5,9,5
Prof,German,professor,45,professur,27,14,4
Others,German,professor,27,professur,18,6,3
Unknown,German,professor,30,professur,17,8,5
PostDoc,German,situation,70,situation,48,20,2
PhDStudent,German,situation,18,situation,7,9,2
Prof,German,situation,33,situation,27,6,0
Others,German,situation,54,situation,36,16,2
Unknown,German,situation,31,situation,24,7,0
PostDoc,German,arbeitsbedingungen,70,situation,49,1,20
Prof,German,arbeitsbedingungen,66,situation,49,1,16
Others,German,arbeitsbedingungen,81,situation,60,0,21
Unknown,German,arbeitsbedingungen,59,situation,48,2,9
PostDoc,German,politik,62,politik,48,12,2
Prof,German,politik,45,politik,27,12,6
Others,German,politik,58,politik,38,15,5
Unknown,German,politik,36,politik,27,7,2
PostDoc,German,leute,53,forschung,41,8,4
PhDStudent,German,leute,16,forschung,11,2,3
Prof,German,leute,49,forschung,36,5,8
Others,German,leute,31,forschung,19,7,5
Unknown,German,leute,44,forschung,40,1,3
PD,German,leute,23,forschung,21,1,1
PostDoc,German,wissenschaftler,48,wissenschaft,36,3,9
Prof,German,wissenschaftler,20,wissenschaft,16,0,4
Others,German,wissenschaftler,25,wissenschaft,16,6,3
Unknown,German,wissenschaftler,16,wissenschaft,12,2,2
PostDoc,German,diskussion,46,thema,21,13,12
Prof,German,diskussion,27,thema,19,8,0
Others,German,diskussion,22,thema,7,8,7
Unknown,German,diskussion,15,thema,10,2,3
PostDoc,German,personal,44,personal,36,5,3
Prof,German,personal,29,personal,20,6,3
Others,German,personal,36,personal,21,5,10
Unknown,German,personal,23,personal,17,1,5
PD,German,personal,15,personal,15,0,0
PostDoc,German,professur,42,professur,33,6,3
Prof,German,professur,57,professur,43,8,6
Others,German,professur,14,professur,9,5,0
Unknown,German,professur,16,professur,11,2,3
PD,German,professur,13,professur,9,1,3
PostDoc,German,thema,41,thema,17,18,6
PhDStudent,German,thema,11,thema,3,5,3
Prof,German,thema,20,thema,10,6,4
Others,German,thema,32,thema,11,18,3
Unknown,German,thema,31,thema,13,12,6
PostDoc,German,arbeit,39,arbeit,24,2,13
Prof,German,arbeit,27,arbeit,19,0,8
Others,German,arbeit,29,arbeit,13,3,13
Unknown,German,arbeit,22,arbeit,17,3,2
PostDoc,German,artikel,35,postdoc,14,5,16
Prof,German,artikel,22,postdoc,5,3,14
Others,German,artikel,23,postdoc,5,8,10
Unknown,German,artikel,15,postdoc,6,6,3
PostDoc,German,ministerin,33,politik,27,6,0
Prof,German,ministerin,22,politik,17,3,2
Others,German,ministerin,30,politik,26,3,1
PostDoc,German,debatte,32,thema,23,6,3
Prof,German,debatte,20,thema,11,6,3
Others,German,debatte,36,thema,22,12,2
Unknown,German,debatte,17,thema,14,2,1
PostDoc,German,hochschulen,31,hochschule,27,2,2
Prof,German,hochschulen,37,hochschule,31,0,6
Others,German,hochschulen,30,hochschule,23,2,5
Unknown,German,hochschulen,14,hochschule,14,0,0
PostDoc,German,punkt,31,forschung,9,10,12
Prof,German,punkt,30,forschung,12,9,9
Others,German,punkt,21,forschung,7,10,4
