Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability
English,Others,academia,89,36,43,10,0.43187779799271164,0.3696469700989429,0.19847522834001963
English,Others,amp,96,23,54,19,0.29093311645556236,0.4514109695252652,0.2576559088095867
English,Others,career,60,11,40,9,0.30209146238242585,0.48228598075608414,0.2156225478587051
English,Others,contract,109,36,63,10,0.38137016260842665,0.4608249249056392,0.1578049131609294
English,Others,germany,88,26,44,18,0.35427557950077404,0.4093514749018306,0.23637294278226112
English,Others,job,69,23,36,10,0.3870213335190994,0.4042314623307059,0.2087472070926341
English,Others,position,66,13,48,5,0.308497743991514,0.5089105823726365,0.1825916700516686
English,Others,research,84,20,45,19,0.28073093199747656,0.4442740295614515,0.27499503440534073
English,Others,researcher,87,35,47,5,0.4290931959176201,0.41954041083996324,0.15136638694796065
English,Others,science,64,14,38,12,0.2793367161939386,0.47566205472685397,0.245001227944158
English,Others,term,56,14,37,5,0.35173148861421005,0.4615951233011271,0.18667338658789437
English,Others,time,63,16,37,10,0.31367321563736783,0.4500125391734025,0.2363142422622158
English,Others,university,63,30,24,9,0.44889249099743744,0.3652327921064127,0.18587471201779346
English,Others,year,56,10,36,10,0.2670843670078154,0.47836836580453174,0.25454726419411594
English,PhD Student,academia,82,46,16,20,0.4566605857505304,0.3138827061871203,0.22945670387139766
English,PhD Student,germany,53,25,19,9,0.4606717639374283,0.34850305353976646,0.1908251956140376
English,PhD Student,year,69,37,23,9,0.49859626944838226,0.3261365015869555,0.17526722445652101
English,PostDoc,academia,339,133,166,40,0.4314492374197044,0.37716591355987,0.19138484880064438
English,PostDoc,academic,313,101,182,30,0.40613583655664903,0.3898440546954211,0.20402010063084358
English,PostDoc,amp,226,98,92,36,0.4247276245707036,0.3514636189355391,0.22380875373687756
English,PostDoc,career,128,37,77,14,0.3448774068965576,0.4403457180596888,0.2147768763170461
English,PostDoc,change,100,33,59,8,0.3797293624654412,0.4209792371839285,0.19929139981046315
English,PostDoc,condition,103,24,78,1,0.3981273852795073,0.43168436363339424,0.1701882629953686
English,PostDoc,contract,164,34,120,10,0.3099063021676024,0.5159747913116361,0.17411890842315805
English,PostDoc,day,56,17,25,14,0.3407538687211594,0.36364092651222435,0.29560520606381546
English,PostDoc,discussion,57,10,32,15,0.23193849840511876,0.46844856035813953,0.2996129484422374
English,PostDoc,germany,187,77,93,17,0.4269527571405319,0.4120821623420492,0.16096507761886408
English,PostDoc,job,159,58,84,17,0.40606274940776377,0.3987522059758692,0.1951850467074498
English,PostDoc,life,70,22,44,4,0.3825916995959622,0.4470078144222498,0.17040048728563953
English,PostDoc,people,127,55,54,18,0.44654740363828777,0.3761865258744852,0.17726606511928902
English,PostDoc,position,136,42,86,8,0.3798139269518502,0.46199291226837563,0.15819315998541078
English,PostDoc,postdoc,109,33,61,15,0.33336031160086665,0.46588146689971655,0.20075822617311814
English,PostDoc,precarity,73,55,14,4,0.6431579850103757,0.26076702505656296,0.096074986284318
English,PostDoc,problem,83,61,15,7,0.5935083088206957,0.29201926569263614,0.11447242477976051
English,PostDoc,research,170,41,91,38,0.28623585991342276,0.44194356479188973,0.2718205785269246
English,PostDoc,researcher,96,34,47,15,0.3810243062131728,0.4178414597020795,0.20113422941843354
English,PostDoc,scholar,82,37,35,10,0.46419625854255947,0.36033292896137004,0.1754708128367982
English,PostDoc,science,79,30,43,6,0.4129979664200469,0.4344782848618453,0.15252374682009592
English,PostDoc,scientist,69,24,40,5,0.4096325782492109,0.42201780463042465,0.16834961621603667
English,PostDoc,student,73,19,41,13,0.34635983499353873,0.408502786152371,0.2451373753711989
English,PostDoc,system,186,79,93,14,0.4733751597664049,0.3629601230063746,0.16366471617572725
English,PostDoc,term,87,14,67,6,0.2877760906115003,0.4935231864794917,0.2187007341062885
English,PostDoc,thing,59,22,25,12,0.4122055571968272,0.3656326843962326,0.2221617612324781
English,PostDoc,thread,73,12,40,21,0.24564564911878267,0.4245053183236351,0.3298490336547567
English,PostDoc,time,146,46,83,17,0.37914361673317953,0.40508139911681823,0.21577498813044937
English,PostDoc,university,101,28,65,8,0.3580237780467118,0.4696724865179841,0.172303735416862
English,PostDoc,way,64,22,27,15,0.37653836954268627,0.34799578558886424,0.27546583820367226
English,PostDoc,work,300,77,167,56,0.3317675284482538,0.4006802248582244,0.2675522441230714
English,PostDoc,year,198,56,114,28,0.3559234565443764,0.43755357880897894,0.20652296122709154
English,Professor,academia,189,86,77,26,0.4793757578683278,0.3405485666460461,0.1800756726226715
English,Professor,academic,221,67,118,36,0.3800197210651717,0.38330239575035974,0.2366778780980145
English,Professor,amp,142,61,51,30,0.4153639275947927,0.34158014803862485,0.24305592357954925
English,Professor,career,83,29,45,9,0.3661182260656931,0.41521377430622836,0.21866799914558605
English,Professor,colleague,54,15,19,20,0.31375753286260144,0.331405989618765,0.3548364798641867
English,Professor,contract,103,31,68,4,0.3700622438082417,0.47658238498475947,0.15335537022142443
