Category,Language,Aspect,Count
Others,German,antwort,70
Others,German,arbeit,273
Others,German,arbeitsbedingung,261
Others,German,arbeitsverhältnis,67
Others,German,arbeitsvertrag,57
Others,German,bedingung,69
Others,German,befristung,136
Others,German,beitrag,86
Others,German,bereich,69
Others,German,berlin,66
Others,German,beschäftigung,66
Others,German,bildung,81
Others,German,bmbf,61
Others,German,chance,70
Others,German,daueraufgabe,141
Others,German,dauerstelle,62
Others,German,debatte,119
Others,German,deutschland,147
Others,German,diskussion,110
Others,German,druck,69
Others,German,entfristung,77
Others,German,erfahrung,84
Others,German,familie,64
Others,German,folge,76
Others,German,forderung,87
Others,German,forschung,308
Others,German,frage,109
Others,German,frau,58
Others,German,geld,89
Others,German,geschichte,51
Others,German,gesellschaft,62
Others,German,gesetz,78
Others,German,grund,70
Others,German,hanna,196
Others,German,hochschule,384
Others,German,idee,84
Others,German,innovation,62
Others,German,jahr,577
Others,German,job,111
Others,German,karriere,100
Others,German,kind,75
Others,German,kollege,127
Others,German,kommentar,52
Others,German,land,135
Others,German,lehre,72
Others,German,leute,116
Others,German,mensch,218
Others,German,mitarbeiter,93
Others,German,mittelbau,159
Others,German,monat,96
Others,German,nachwuchs,93
Others,German,personal,69
Others,German,perspektive,121
Others,German,politik,75
Others,German,postdoc,80
Others,German,problem,217
Others,German,prof,52
Others,German,professor,69
Others,German,professur,96
Others,German,projekt,102
Others,German,promotion,182
Others,German,reform,101
Others,German,semester,52
Others,German,situation,97
Others,German,stelle,151
Others,German,studium,146
Others,German,stunde,67
Others,German,system,154
Others,German,tag,113
Others,German,thema,238
Others,German,thread,72
Others,German,uhr,184
Others,German,un,51
Others,German,uni,420
Others,German,universität,175
Others,German,unsicherheit,54
Others,German,vertrag,227
Others,German,verwaltung,53
Others,German,video,63
Others,German,vorschlag,58
Others,German,wissenschaft,699
Others,German,wissenschaftler,326
Others,German,wissenschaftlerin,60
Others,German,wissenschaftssystem,75
Others,German,woche,92
Others,German,wort,58
Others,German,zeit,235
Others,German,zukunft,70
Others,English,academia,88
Others,English,amp,96
Others,English,career,60
Others,English,contract,79
Others,English,germany,88
Others,English,job,69
Others,English,position,66
Others,English,research,82
Others,English,researcher,87
Others,English,science,64
Others,English,term,56
Others,English,time,62
Others,English,university,63
Others,English,year,56
PD,German,arbeit,52
PD,German,befristung,53
PD,German,jahr,112
PD,German,leute,56
PD,German,problem,71
PD,German,professur,71
PD,German,system,60
PD,German,vertrag,52
PD,German,wissenschaft,161
PhD Student,German,arbeit,86
PhD Student,German,arbeitsbedingung,52
PhD Student,German,deutschland,58
PhD Student,German,forschung,110
PhD Student,German,hanna,61
PhD Student,German,hochschule,71
PhD Student,German,jahr,284
PhD Student,German,leute,57
PhD Student,German,mensch,73
PhD Student,German,monat,51
PhD Student,German,problem,89
PhD Student,German,professur,57
PhD Student,German,promotion,90
PhD Student,German,stelle,72
PhD Student,German,system,64
PhD Student,German,thema,77
PhD Student,German,uni,135
PhD Student,German,vertrag,89
PhD Student,German,wissenschaft,199
PhD Student,German,wissenschaftler,112
PhD Student,German,woche,58
PhD Student,German,zeit,98
PhD Student,English,academia,78
PhD Student,English,germany,53
PhD Student,English,year,69
PostDoc,German,antrag,76
PostDoc,German,antwort,91
PostDoc,German,arbeit,364
PostDoc,German,arbeitgeber,53
PostDoc,German,arbeitsbedingung,221
PostDoc,German,arbeitsvertrag,73
PostDoc,German,arbeitszeit,53
PostDoc,German,argument,92
PostDoc,German,artikel,87
PostDoc,German,ausland,75
PostDoc,German,bedingung,100
PostDoc,German,befristung,136
PostDoc,German,beispiel,53
PostDoc,German,beitrag,138
PostDoc,German,bereich,78
PostDoc,German,beschäftigung,60
