Category,Language,Aspect,Count
Lecturer,German,abhängigkeit,1
Lecturer,German,abhängigkeitshierarchie,1
Lecturer,German,ablehnung,1
Lecturer,German,absagenwahnsinn,1
Lecturer,German,abschluss,2
Lecturer,German,abschwächung,1
Lecturer,German,abteilung,1
Lecturer,German,academia,1
Lecturer,German,achja,1
Lecturer,German,adresse,2
Lecturer,German,afrika,1
Lecturer,German,ahnungslosigkeit,1
Lecturer,German,akademienprogramm,1
Lecturer,German,akademikerin,1
Lecturer,German,aktivist,1
Lecturer,German,alltag,1
Lecturer,German,alzheimer,1
Lecturer,German,amt,1
Lecturer,German,andy,1
Lecturer,German,anerkennung,2
Lecturer,German,anfang,1
Lecturer,German,anforderung,2
Lecturer,German,angabe,1
Lecturer,German,angebot,1
Lecturer,German,anlas,1
Lecturer,German,ansprechpartner,1
Lecturer,German,anspruch,2
Lecturer,German,anstellungsbedingung,1
Lecturer,German,anteil,2
Lecturer,German,antrag,2
Lecturer,German,antragssumme,1
Lecturer,German,antragsvorbereitung,1
Lecturer,German,antwort,2
Lecturer,German,anwendung,2
Lecturer,German,anzeige,1
Lecturer,German,april,1
Lecturer,German,arbeit,13
Lecturer,German,arbeiterkind,1
Lecturer,German,arbeitgeber,2
Lecturer,German,arbeitgeberbeitrag,1
Lecturer,German,arbeitsbedingung,11
Lecturer,German,arbeitslosigkeit,1
Lecturer,German,arbeitsplatz,1
Lecturer,German,arbeitsrecht,1
Lecturer,German,arbeitstag,2
Lecturer,German,arbeitsverhältnis,1
Lecturer,German,arbeitsvertrag,3
Lecturer,German,arbeitszeit,2
Lecturer,German,archiv,2
Lecturer,German,argument,5
Lecturer,German,art,1
Lecturer,German,artikel,1
Lecturer,German,aspekt,1
Lecturer,German,astrid,1
Lecturer,German,attraktivität,1
Lecturer,German,aufgabe,1
Lecturer,German,auflösungsvertrag,1
Lecturer,German,aufsatz,1
Lecturer,German,aufschrei,1
Lecturer,German,auge,2
Lecturer,German,ausbildung,1
Lecturer,German,ausdauer,1
Lecturer,German,ausdruck,1
Lecturer,German,ausfall,1
Lecturer,German,ausgangspunkt,1
Lecturer,German,auslandsstipendium,2
Lecturer,German,auslassung,1
Lecturer,German,auslöser,1
Lecturer,German,ausnahme,1
Lecturer,German,ausnahmefall,1
Lecturer,German,aussage,5
Lecturer,German,ausschreibung,1
Lecturer,German,austausch,1
Lecturer,German,auswahl,1
Lecturer,German,auszeit,1
Lecturer,German,autor,1
Lecturer,German,autorin,1
Lecturer,German,bafög,1
Lecturer,German,band,1
Lecturer,German,bande,1
Lecturer,German,bedeutung,1
Lecturer,German,bedingung,9
Lecturer,German,beendigung,1
Lecturer,German,befristung,5
Lecturer,German,befristungsdauern,1
Lecturer,German,befristungssituation,1
Lecturer,German,beginn,2
Lecturer,German,begründung,1
Lecturer,German,behauptung,1
Lecturer,German,behinderung,2
Lecturer,German,beispiel,4
Lecturer,German,beitrag,7
Lecturer,German,beitragszeit,1
Lecturer,German,belastung,1
Lecturer,German,bereich,2
Lecturer,German,beruf,5
Lecturer,German,berufsleben,2
Lecturer,German,berufstätigkeit,1
Lecturer,German,berufsverbot,1
Lecturer,German,berufsweg,1
Lecturer,German,berufsworkshop,1
Lecturer,German,berufsziel,1
Lecturer,German,berufung,1
Lecturer,German,berufungsgremium,1
Lecturer,German,berufungsverfahren,1
Lecturer,German,beschäftigung,4
Lecturer,German,beschäftigungsverhältnis,2
Lecturer,German,betreuung,2
Lecturer,German,betreuungsarbeit,1
Lecturer,German,bewerbung,2
Lecturer,German,bewerbungsmarathon,1
Lecturer,German,bewerbungsphase,1
Lecturer,German,bewerbungsschluß,1
Lecturer,German,bewertungskriterium,1
Lecturer,German,bewährung,1
Lecturer,German,bewährungsphase,1
Lecturer,German,bibliotheksschließung,2
Lecturer,German,bildungsweg,1
Lecturer,German,biologin,1
Lecturer,German,bipoc,1
Lecturer,German,blatt,1
Lecturer,German,blick,5
Lecturer,German,bmbf,1
Lecturer,German,boris,1
Lecturer,German,budget,3
Lecturer,German,bund,1
Lecturer,German,bundesgesetz,1
Lecturer,German,bundespolitik,1
Lecturer,German,bundestag,3
Lecturer,German,cafe,1
Lecturer,German,cdu,1
Lecturer,German,chef,1
Lecturer,German,chefin,1
Lecturer,German,christopher,1
Lecturer,German,claudia,1
Lecturer,German,corona,2
Lecturer,German,csu,1
Lecturer,German,dankeschön,1
Lecturer,German,darlehenszins,1
Lecturer,German,daueraufgabe,2
Lecturer,German,dauerstelle,4
Lecturer,German,dauerzustand,1
Lecturer,German,debatte,3
Lecturer,German,definition,1
Lecturer,German,detailregelung,1
Lecturer,German,deutschland,3
Lecturer,German,dfg,2
Lecturer,German,didaktik,2
Lecturer,German,dienstplanung,1
Lecturer,German,dis,2
Lecturer,German,diskussion,20
Lecturer,German,diskussionsvorschlag,1
Lecturer,German,dissertation,3
Lecturer,German,doc,2
Lecturer,German,doktor,1
Lecturer,German,doktorand,1
Lecturer,German,dorothée,1
Lecturer,German,dozentin,1
Lecturer,German,drittmittel,1
Lecturer,German,drittmittelantrag,1
Lecturer,German,drohung,1
Lecturer,German,eda,1
Lecturer,German,einblick,2
Lecturer,German,einflussbereich,1
Lecturer,German,einführung,1
Lecturer,German,einrichtung,1
Lecturer,German,einzelfall,1
Lecturer,German,einzelschicksal,1
Lecturer,German,engagement,2
Lecturer,German,entrüstung,1
Lecturer,German,erbe,1
Lecturer,German,erfahrung,2
Lecturer,German,erfolg,1
Lecturer,German,erfolgschance,1
Lecturer,German,erkenntnis,1
Lecturer,German,erklärung,1
Lecturer,German,erniedrigung,1
Lecturer,German,erwerbsarbeitslosigkeit,1
Lecturer,German,essay,1
Lecturer,German,essen,1
Lecturer,German,euro,1
Lecturer,German,evaluation,4
Lecturer,German,existenzangst,1
Lecturer,German,exzellenz,3
Lecturer,German,exzellenzstrategie,1
Lecturer,German,fach,4
Lecturer,German,fachgebiet,1
Lecturer,German,fachgesellschaft,1
Lecturer,German,fahrt,1
Lecturer,German,fahrtkosten,1
Lecturer,German,faktor,2
Lecturer,German,fall,3
Lecturer,German,familie,2
Lecturer,German,familiengründung,1
Lecturer,German,fdp,1
Lecturer,German,fehlstellung,1
Lecturer,German,feld,1
Lecturer,German,feldforschung,1
Lecturer,German,fernbeziehung,1
Lecturer,German,finanzierung,4
Lecturer,German,finanzierungsmöglichkeit,1
Lecturer,German,finanzpolitik,1
Lecturer,German,flaschenhals,1
Lecturer,German,flexibilität,2
Lecturer,German,fliege,1
Lecturer,German,flüssigkeit,1
Lecturer,German,folge,1
Lecturer,German,forderung,4
Lecturer,German,form,1
Lecturer,German,formulierung,1
Lecturer,German,forschung,9
Lecturer,German,forschungseinrichtung,1
Lecturer,German,forschungsinstitution,2
Lecturer,German,fortbildung,1
Lecturer,German,frage,6
Lecturer,German,frau,2
Lecturer,German,freiheit,1
Lecturer,German,freitag,1
Lecturer,German,freizeit,3
Lecturer,German,freude,1
Lecturer,German,freund,1
Lecturer,German,freundin,1
Lecturer,German,fuß,1
Lecturer,German,fähigkeit,1
Lecturer,German,förderantrag,1
Lecturer,German,fördermöglichkeit,1
Lecturer,German,garten,1
Lecturer,German,gast,1
Lecturer,German,gedanke,1
Lecturer,German,gedankenexperiment,1
Lecturer,German,gefühl,3
Lecturer,German,gegenargument,1
Lecturer,German,gegesatz,1
Lecturer,German,gehalt,3
Lecturer,German,geisteswissenschaft,2
Lecturer,German,gelegenheit,1
Lecturer,German,gesellschaft,1
Lecturer,German,gesetz,2
Lecturer,German,gesicht,1
Lecturer,German,gesprächsangebot,1
Lecturer,German,gesuch,1
Lecturer,German,gesundheitssystem,1
Lecturer,German,gewichtung,1
Lecturer,German,glück,5
Lecturer,German,gott,1
Lecturer,German,gremium,1
Lecturer,German,grossteil,1
Lecturer,German,großküche,1
Lecturer,German,großteil,1
Lecturer,German,grund,2
Lecturer,German,grundfinanzierung,1
Lecturer,German,grundlage,1
Lecturer,German,gruppe,7
Lecturer,German,gutachten,1
Lecturer,German,habilitation,2
Lecturer,German,haltung,1
Lecturer,German,handlung,1
Lecturer,German,hanna,1
Lecturer,German,hannah,1
Lecturer,German,hard,1
Lecturer,German,hausarbeit,1
Lecturer,German,haushaltsmittel,1
Lecturer,German,henno,1
Lecturer,German,herausforderung,1
Lecturer,German,herkunft,1
Lecturer,German,herz,1
Lecturer,German,hes,1
Lecturer,German,hierarchie,1
Lecturer,German,hinweis,2
Lecturer,German,historiker,1
Lecturer,German,historikerin,1
Lecturer,German,hochschuldidaktik,1
Lecturer,German,hochschuldozentur,1
Lecturer,German,hochschule,19
Lecturer,German,hochschulwesen,1
Lecturer,German,hochschulwissenschaft,1
Lecturer,German,home,1
Lecturer,German,hrk,1
Lecturer,German,humangenetik,1
Lecturer,German,höhe,1
Lecturer,German,hölle,1
Lecturer,German,idee,2
Lecturer,German,individualisierung,1
Lecturer,German,information,1
Lecturer,German,informationsveranstaltung,1
Lecturer,German,inhalt,1
Lecturer,German,initiative,1
Lecturer,German,inkompetenz,1
Lecturer,German,insbe,1
Lecturer,German,insider,1
Lecturer,German,institut,2
Lecturer,German,institution,5
Lecturer,German,institutskultur,1
Lecturer,German,interesse,3
Lecturer,German,interview,3
Lecturer,German,jahr,17
Lecturer,German,jahresende,1
Lecturer,German,janotta,1
Lecturer,German,januar,2
Lecturer,German,job,3
Lecturer,German,jobantritt,1
Lecturer,German,jobs,1
Lecturer,German,johnsonesque,1
Lecturer,German,jähne,1
Lecturer,German,kapazität,1
Lecturer,German,karikatur,1
Lecturer,German,karriere,7
Lecturer,German,karrierechance,1
Lecturer,German,karrierepfad,1
Lecturer,German,karriereweg,2
Lecturer,German,kernproblem,1
Lecturer,German,kind,1
Lecturer,German,kinderuni,1
Lecturer,German,kindheit,1
Lecturer,German,klarstellung,1
Lecturer,German,klassiker,1
Lecturer,German,klaus,1
Lecturer,German,kollege,3
Lecturer,German,kollegin,2
Lecturer,German,kombination,1
Lecturer,German,kommilitone,1
Lecturer,German,kommunikationswissenschaft,1
Lecturer,German,konferenz,1
Lecturer,German,konkurrenz,2
Lecturer,German,konsequenz,5
Lecturer,German,kontext,3
Lecturer,German,kopf,1
Lecturer,German,kopfbelastung,1
Lecturer,German,korrektur,1
Lecturer,German,kosten,2
Lecturer,German,krankheit,1
Lecturer,German,kreativität,1
Lecturer,German,kriterium,3
Lecturer,German,kritik,1
Lecturer,German,kritikpunkt,1
Lecturer,German,kurierrucksack,1
Lecturer,German,körper,1
Lecturer,German,kündigung,2
Lecturer,German,land,3
Lecturer,German,laufbahn,1
Lecturer,German,lebensbediungung,1
Lecturer,German,lebenslaufpolitik,1
Lecturer,German,lebenszeit,1
Lecturer,German,leerlauf,1
Lecturer,German,lehramt,1
Lecturer,German,lehramtsstudium,1
Lecturer,German,lehrauftrag,3
Lecturer,German,lehre,6
Lecturer,German,lehrredaktion,1
Lecturer,German,lehrstuhl,1
Lecturer,German,lehrveranstaltung,1
Lecturer,German,leistung,4
Lecturer,German,leistungsdruck,1
Lecturer,German,leistungserwartung,1
Lecturer,German,lektüreempfehlung,1
Lecturer,German,leute,2
Lecturer,German,linie,1
Lecturer,German,lisa,1
Lecturer,German,literatur,2
Lecturer,German,los,2
Lecturer,German,lukman,1
Lecturer,German,lust,1
Lecturer,German,lösung,4
Lecturer,German,macher,1
Lecturer,German,magistra,1
Lecturer,German,mail,1
Lecturer,German,manager,1
Lecturer,German,mann,4
Lecturer,German,master,1
Lecturer,German,masterarbeit,1
Lecturer,German,masterarbeitenbetreuung,1
Lecturer,German,masterstudium,1
Lecturer,German,material,1
Lecturer,German,matthias,1
Lecturer,German,maximum,1
Lecturer,German,maßnahme,1
Lecturer,German,mehrarbeit,1
Lecturer,German,mehraufwand,2
Lecturer,German,mehrfachbelastung,1
Lecturer,German,meinung,1
Lecturer,German,meister,2
Lecturer,German,mensch,6
Lecturer,German,mia,1
Lecturer,German,migrationsrestriktion,1
Lecturer,German,million,1
Lecturer,German,min,1
Lecturer,German,minister,1
Lecturer,German,ministerin,2
Lecturer,German,ministerium,1
Lecturer,German,missverhältnis,1
Lecturer,German,mitarbeiter,2
