Category,Language,Aspect,Count,Negative,Neutral,Positive
PostDoc,English,system,69,58,6,5
PostDoc,English,job,32,13,16,3
PostDoc,English,staff,30,18,9,3
PostDoc,English,thread,27,2,3,22
PostDoc,English,position,27,6,19,2
PostDoc,English,academia,24,19,1,4
PostDoc,English,hanna,21,8,8,5
PostDoc,English,conditions,21,17,0,4
PostDoc,English,contract,17,6,7,4
PostDoc,English,germany,16,10,4,2
PostDoc,English,work,16,8,4,4
PostDoc,English,teaching,15,6,4,5
PostDoc,English,law,14,12,2,0
PostDoc,English,twitter,12,2,9,1
PostDoc,English,money,12,7,4,1
PostDoc,English,video,11,7,3,1
PostDoc,English,place,11,5,1,5
PostDoc,English,working conditions,11,6,0,5
PostDoc,German,system,177,151,12,14
PostDoc,German,stelle,107,63,31,13
PostDoc,German,lehre,97,62,1,34
PostDoc,German,thread,97,23,21,53
PostDoc,German,wissenschaft,95,63,16,16
PostDoc,German,universitäten,78,75,0,3
PostDoc,German,stellen,77,70,6,1
PostDoc,German,geld,76,60,13,3
PostDoc,German,professor,73,52,14,7
PostDoc,German,situation,70,48,20,2
PostDoc,German,arbeitsbedingungen,70,49,1,20
PostDoc,German,hanna,67,26,24,17
PostDoc,German,video,65,35,17,13
PostDoc,German,politik,62,48,12,2
PostDoc,German,leute,53,41,8,4
PostDoc,German,job,52,20,21,11
PostDoc,German,wissenschaftler,48,36,3,9
PostDoc,German,diskussion,46,21,13,12
PostDoc,German,personal,44,36,5,3
PostDoc,German,professur,42,33,6,3
PostDoc,German,thema,41,17,18,6
PostDoc,German,arbeit,39,24,2,13
PostDoc,German,artikel,35,14,5,16
PostDoc,German,ministerin,33,27,6,0
PostDoc,German,debatte,32,23,6,3
PostDoc,German,hochschulen,31,27,2,2
PostDoc,German,punkt,31,9,10,12
PostDoc,German,promotion,30,14,8,8
PostDoc,German,vertrag,30,21,8,1
PostDoc,German,projekt,29,19,6,4
PostDoc,German,zeit,29,21,5,3
PostDoc,German,professoren,27,22,3,2
PostDoc,German,mitarbeiter,27,20,0,7
PostDoc,German,prof,26,17,4,5
PostDoc,German,systems,24,14,4,6
PostDoc,German,forschung,24,16,2,6
PostDoc,German,profs,23,15,5,3
