Category,Language,Aspect,Count,Negative,Neutral,Positive
PostDoc,English,system,69,58,6,5
PostDoc,English,job,32,13,16,3
PostDoc,English,staff,30,18,9,3
PostDoc,English,thread,27,2,3,22
PostDoc,English,position,27,6,19,2
PostDoc,English,academia,24,19,1,4
PostDoc,English,hanna,21,8,8,5
PostDoc,English,conditions,21,17,0,4
PostDoc,English,contract,17,6,7,4
PostDoc,English,germany,16,10,4,2
PostDoc,English,work,16,8,4,4
PostDoc,English,teaching,15,6,4,5
PostDoc,English,law,14,12,2,0
PostDoc,English,twitter,12,2,9,1
PostDoc,English,money,12,7,4,1
PostDoc,English,video,11,7,3,1
PostDoc,English,place,11,5,1,5
PostDoc,English,working conditions,11,6,0,5
PostDoc,English,professor,10,4,5,1
PostDoc,English,professors,9,8,1,0
PostDoc,English,jobs,9,6,3,0
PostDoc,English,science,9,3,2,4
PostDoc,English,pay,8,6,1,1
PostDoc,English,life,8,2,3,3
PostDoc,English,people,8,3,2,3
PostDoc,English,research,8,6,1,1
PostDoc,English,positions,8,5,3,0
PostDoc,English,prof,8,1,7,0
PostDoc,English,students,7,0,4,3
PostDoc,English,discussion,7,3,3,1
PostDoc,English,conference,7,2,5,0
PostDoc,English,community,6,2,0,4
PostDoc,English,education,6,3,3,0
PostDoc,English,time,6,6,0,0
PostDoc,English,career,6,4,1,1
PostDoc,English,project,6,3,2,1
PostDoc,English,movement,6,3,2,1
PostDoc,English,employment,6,5,0,1
PostDoc,English,salary,5,1,3,1
PostDoc,English,future,5,0,4,1
PostDoc,English,lecturers,5,3,0,2
PostDoc,English,value,5,4,0,1
PostDoc,English,power,5,3,0,2
PostDoc,English,book,5,1,2,2
PostDoc,English,academy,5,4,0,1
PostDoc,English,environment,5,3,0,2
PostDoc,English,workshop,4,0,2,2
PostDoc,English,industry,4,3,0,1
PostDoc,English,training,4,0,3,1
PostDoc,English,resources,4,3,1,0
PostDoc,English,service,4,1,2,1
PostDoc,English,here,4,0,4,0
PostDoc,English,structure,4,4,0,0
PostDoc,English,cost,4,2,1,1
PostDoc,English,working,4,2,2,0
PostDoc,English,point,4,0,0,4
PostDoc,English,cv,4,0,4,0
PostDoc,English,eu,4,2,2,0
