lemma,PoS,sentiment,weight,
a-beta-lipoproteinämie,N,0.003384525,3.533015822,
a-bild-sonographie,N,-0.001578073,3.533015822,
a-bock,N,-0.012452538,3.533015822,
a-galle,N,-0.022661629,3.533015822,
a-horizont,N,0.020365845,3.533015822,
a-säule,N,0.013835407,3.533015822,
a.b.e.-fermentation,XY,-0.100009388,3.533015822,
a,XY,-0.041673207,3.533015822,
aa,N,0.011002444,3.533015822,
aachen,NE,-0.00927195,3.533015822,
aal,N,-0.017532816,3.533015822,
aalen,V,0.509269111,6.687792676,
aalglatt,AJ,-0.451925145,6.687792676,
aalmutter,N,-0.030065063,3.533015822,
aalreuse,NE,-0.021693788,3.533015822,
aar,N,-0.011325462,3.533015822,
aasen,PDS,-0.911401623,6.687792676,
aasfresser,N,-0.075934348,3.533015822,
aasgeier,N,-0.049725913,3.533015822,
aasig,PDS,-0.527848715,6.687792676,
aaskrähe,NE,-0.04141617,3.533015822,
aaskäfer,N,-0.04141617,3.533015822,
aasseite,N,-0.046798501,3.533015822,
aaste,PDS,-0.829953431,3.533015822,
ab-,TRUNC,0.020674804,3.533015822,
ab-,V,-0.00165955,6.687792676,
ab-betrieb,N,0.020674804,3.533015822,
ab,PTKVZ,-0.002899857,3.533015822,
abachi-baum,N,0.002398066,3.533015822,
abachi,N,0.002398066,3.533015822,
abakus,N,0.010551862,3.533015822,
abandon,N,-0.911401623,6.687792676,
abandonnieren,AJ,-0.829953431,3.533015822,
abandonnieren,V,-0.829953431,3.533015822,
abarbeiten,V,-0.86943071,6.687792676,
abarbeitung,N,-0.023967561,3.533015822,
abart,N,-0.597699879,9.739220557,
abarten,V,-0.829953431,3.533015822,
abartig,AJ,-0.711588735,9.739220557,
abartigkeit,N,-0.036956332,3.533015822,
abartung,N,-0.014900652,3.533015822,
abasie,N,-0.03935108,3.533015822,
abaxial,AJ,-0.002417414,3.533015822,
abb&eacute;-neuber-lippenplastik,NE,0.016104831,3.533015822,
abbalgen,V,-0.042151177,3.533015822,
abbau,N,-0.514674601,11.98261076,
